Protocol,Benchmark,Algorithm,Instance,Seed,Iteration_Limit,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Feasible,Batch_Workers,Source_Record
Fixed iteration,Chao,Ejection OFF,p4.2.r,0,2500,2500,1280.0,1292.0,0.9287925696594427,219.49758314237533,,5.701602199999797,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.r,1,2500,2500,1280.0,1292.0,0.9287925696594427,219.56299272163525,,5.328632800000378,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.r,2,2500,2500,1267.0,1292.0,1.934984520123839,219.38602102747572,,5.845827299999655,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.r,3,2500,2500,1280.0,1292.0,0.9287925696594427,219.5483522994562,,5.747383599999921,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.s,0,2500,2500,1296.0,1304.0,0.6134969325153374,228.75781893318964,,5.308219200000167,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.s,1,2500,2500,1293.0,1304.0,0.843558282208589,229.1588344497399,,5.884686700000202,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.s,2,2500,2500,1295.0,1304.0,0.6901840490797546,229.1361982094993,,5.59052949999932,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.s,3,2500,2500,1295.0,1304.0,0.6901840490797546,229.3915155726629,,5.5561952000007295,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.t,0,2500,2500,1306.0,1306.0,0.0,238.1718123917894,,5.176257199998872,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.t,1,2500,2500,1305.0,1306.0,0.07656967840735068,237.9974213011236,,5.083038400000078,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.t,2,2500,2500,1306.0,1306.0,0.0,238.1718123917894,,5.113758999999845,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.t,3,2500,2500,1303.0,1306.0,0.22970903522205208,237.54589656694145,,5.5008097000009,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.c,0,2500,2500,193.0,193.0,0.0,68.84769108851907,,1.2138414999990346,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.c,1,2500,2500,193.0,193.0,0.0,68.84769108851907,,1.2200926000004984,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.c,2,2500,2500,193.0,193.0,0.0,68.84769108851907,,1.2043606999995973,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.c,3,2500,2500,193.0,193.0,0.0,68.84769108851907,,1.211171299999478,True,2,02_fixed_2500_ejection_on_off/runs.csv
