Protocol,Benchmark,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Batch_Workers,Source_Record
Symmetric wall clock,Chao,Ejection OFF,p4.2.q,3,2500,9.957844875000092,9.957844875000092,3973,1251.0,1268.0,1.3406940063091484,209.60116627427865,84,9.70939499999986,0.248449875000233,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.r,0,2500,9.02643665000005,9.02643665000005,3804,1280.0,1292.0,0.9287925696594428,219.5483522994562,88,8.778321000001597,0.2481156499984536,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.r,1,2500,9.02643665000005,9.02643665000005,3985,1280.0,1292.0,0.9287925696594428,219.56299272163525,89,8.777863700001035,0.2485729499990157,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.r,2,2500,9.02643665000005,9.02643665000005,3735,1271.0,1292.0,1.6253869969040249,218.57688472978663,91,8.779310599999008,0.247126050001043,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.r,3,2500,9.02643665000005,9.02643665000005,3840,1280.0,1292.0,0.9287925696594428,219.49758314237533,89,8.711611300001096,0.314825349998955,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.s,0,2500,7.750026475000368,7.750026475000368,3414,1295.0,1304.0,0.6901840490797546,229.1361982094993,93,7.464121000000887,0.2859054749994811,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.s,1,2500,7.750026475000368,7.750026475000368,3194,1293.0,1304.0,0.843558282208589,226.7927281567582,94,7.406269099999918,0.3437573750004503,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.s,2,2500,7.750026475000368,7.750026475000368,3581,1293.0,1304.0,0.843558282208589,227.48726103186092,93,7.50057039999956,0.2494560750008077,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.s,3,2500,7.750026475000368,7.750026475000368,3334,1295.0,1304.0,0.6901840490797546,229.1361982094993,93,7.318683999999848,0.4313424750005197,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.t,0,2500,7.1081534000009015,7.1081534000009015,3338,1306.0,1306.0,0.0,238.42871548254084,98,6.859655100000964,0.2484982999999374,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.t,1,2500,7.1081534000009015,7.1081534000009015,3125,1306.0,1306.0,0.0,236.3415765604323,98,6.859873600000356,0.2482798000005459,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.t,2,2500,7.1081534000009015,7.1081534000009015,3287,1306.0,1306.0,0.0,237.9608908734735,98,6.697160700001405,0.4109926999994968,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.t,3,2500,7.1081534000009015,7.1081534000009015,3033,1303.0,1306.0,0.229709035222052,238.5432859570429,97,6.658447499999966,0.4497059000009358,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.3.c,0,2500,2.0727383750004265,2.0727383750004265,3254,193.0,193.0,0.0,68.84769108851907,12,1.6144064000000071,0.4583319750004193,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.3.c,1,2500,2.0727383750004265,2.0727383750004265,3274,193.0,193.0,0.0,68.84769108851907,12,1.6001735999998346,0.4725647750005919,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.3.c,2,2500,2.0727383750004265,2.0727383750004265,3323,193.0,193.0,0.0,68.84769108851907,12,1.6561524999997346,0.4165858750006919,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.3.c,3,2500,2.0727383750004265,2.0727383750004265,3308,193.0,193.0,0.0,68.84769108851907,12,1.6403448000000935,0.4323935750003329,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.3.d,0,2500,3.224414650000199,3.224414650000199,4034,335.0,335.0,0.0,79.8780120203946,23,2.974487499999668,0.2499271500005306,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
