Protocol,Benchmark,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Feasible,Batch_Workers,Source_Record
Runtime budget baseline,Chao,GRASP,p4.2.q,3,2500,9.957844875000092,9.707844875000092,21312,1169.0,1268.0,7.807570977917981,206.60694448576533,82,9.708061799999996,0.2497830750000957,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.r,0,2500,9.02643665000005,8.77643665000005,18504,1214.0,1292.0,6.037151702786378,216.3069067542631,82,8.776798200000485,0.2496384499995656,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.r,1,2500,9.02643665000005,8.77643665000005,18563,1199.0,1292.0,7.198142414860681,215.24491897802383,87,8.777065300000686,0.2493713499993646,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.r,2,2500,9.02643665000005,8.77643665000005,18586,1224.0,1292.0,5.2631578947368425,217.2515440816366,84,8.776777399998537,0.249659250001514,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.r,3,2500,9.02643665000005,8.77643665000005,18598,1211.0,1292.0,6.269349845201238,217.4216970491443,81,8.776664000000892,0.2497726499991586,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.s,0,2500,7.750026475000368,7.500026475000368,15403,1230.0,1304.0,5.674846625766871,227.3662331001144,87,7.500218299999688,0.2498081750006804,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.s,1,2500,7.750026475000368,7.500026475000368,15540,1254.0,1304.0,3.834355828220859,223.3317081855924,88,7.500715800000762,0.2493106749996059,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.s,2,2500,7.750026475000368,7.500026475000368,15134,1223.0,1304.0,6.211656441717792,224.48328682718187,84,7.500654899999063,0.2493715750013052,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.s,3,2500,7.750026475000368,7.500026475000368,15148,1237.0,1304.0,5.138036809815951,228.52195510796432,87,7.500843699999677,0.2491827750006905,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.t,0,2500,7.1081534000009015,6.8581534000009015,13769,1257.0,1306.0,3.7519142419601836,234.44190855494023,87,6.858490700000402,0.2496627000004991,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.t,1,2500,7.1081534000009015,6.8581534000009015,13745,1269.0,1306.0,2.8330781010719757,237.06474823896107,91,6.858737400001701,0.2494159999992007,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.t,2,2500,7.1081534000009015,6.8581534000009015,13672,1270.0,1306.0,2.756508422664625,236.2484463718303,90,6.858813799997733,0.249339600003168,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.2.t,3,2500,7.1081534000009015,6.8581534000009015,13728,1276.0,1306.0,2.2970903522205206,234.0756143646852,90,6.858376599997428,0.2497768000034739,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.c,0,2500,2.0727383750004265,1.8227383750004265,14208,193.0,193.0,0.0,68.84769108851907,12,1.822872600001574,0.2498657749988524,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.c,1,2500,2.0727383750004265,1.8227383750004265,14347,193.0,193.0,0.0,68.84769108851907,12,1.822930800000904,0.2498075749995223,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.c,2,2500,2.0727383750004265,1.8227383750004265,14253,193.0,193.0,0.0,68.84769108851907,12,1.8231218000000808,0.2496165750003456,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.c,3,2500,2.0727383750004265,1.8227383750004265,14253,193.0,193.0,0.0,68.84769108851907,12,1.822843699999794,0.2498946750006325,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.d,0,2500,3.224414650000199,2.974414650000199,19751,326.0,335.0,2.6865671641791047,79.52033436628393,23,2.974744000002829,0.2496706499973697,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.d,1,2500,3.224414650000199,2.974414650000199,19883,324.0,335.0,3.283582089552239,79.61439680398787,24,2.975313200000528,0.2491014499996708,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.d,2,2500,3.224414650000199,2.974414650000199,19875,324.0,335.0,3.283582089552239,79.61439680398787,24,2.974654300000111,0.2497603500000877,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.d,3,2500,3.224414650000199,2.974414650000199,19850,332.0,335.0,0.8955223880597015,79.88244866409681,23,2.974560099999508,0.2498545500006912,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.e,0,2500,4.653492950000327,4.403492950000327,26067,441.0,468.0,5.769230769230769,88.85592328557084,27,4.4036498999994365,0.2498430500008908,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.e,1,2500,4.653492950000327,4.403492950000327,26054,441.0,468.0,5.769230769230769,89.26714632027881,26,4.403705900000205,0.2497870500001227,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.e,2,2500,4.653492950000327,4.403492950000327,26285,441.0,468.0,5.769230769230769,89.26714632027881,26,4.403672300002654,0.2498206499976731,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.e,3,2500,4.653492950000327,4.403492950000327,26326,442.0,468.0,5.555555555555555,88.4495382089924,28,4.403655199999776,0.2498377500005517,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.f,0,2500,5.310437875000844,5.060437875000844,27454,537.0,579.0,7.253886010362694,99.56599024969238,35,5.060629299998254,0.2498085750025893,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.f,1,2500,5.310437875000844,5.060437875000844,27490,528.0,579.0,8.808290155440414,99.35168151766676,35,5.0608885000001465,0.2495493750006971,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.f,2,2500,5.310437875000844,5.060437875000844,27539,534.0,579.0,7.772020725388601,99.1845157281274,34,5.0609825999999885,0.2494552750008551,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.f,3,2500,5.310437875000844,5.060437875000844,27525,537.0,579.0,7.253886010362694,99.56599024969238,35,5.060636099999101,0.2498017750017425,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.g,0,2500,6.209602974999143,5.959602974999143,29186,612.0,653.0,6.278713629402756,108.24533091982356,42,5.959828499999276,0.2497744749998673,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.g,1,2500,6.209602974999143,5.959602974999143,29220,608.0,653.0,6.891271056661562,107.05050539633184,42,5.959738599998673,0.2498643750004703,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.g,2,2500,6.209602974999143,5.959602974999143,29073,612.0,653.0,6.278713629402756,108.24533091982356,42,5.959742600000027,0.2498603749991161,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.g,3,2500,6.209602974999143,5.959602974999143,29259,598.0,653.0,8.422664624808576,108.61021311362332,39,5.959894899999199,0.249708074999944,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.h,0,2500,7.29379172499921,7.04379172499921,31674,674.0,729.0,7.544581618655693,119.49840415033236,50,7.043990199999826,0.2498015249993841,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.h,1,2500,7.29379172499921,7.04379172499921,31663,666.0,729.0,8.641975308641975,117.2099795597606,46,7.044146200001705,0.2496455249975042,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.h,2,2500,7.29379172499921,7.04379172499921,31329,666.0,729.0,8.641975308641975,117.2099795597606,46,7.044092799998907,0.2496989250003025,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.h,3,2500,7.29379172499921,7.04379172499921,31314,673.0,729.0,7.681755829903978,117.1344001109902,44,7.044257300000027,0.2495344249991831,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.i,0,2500,8.776482175000183,8.526482175000183,35534,755.0,809.0,6.6749072929542645,128.83825496357545,54,8.526713200000813,0.2497689749993696,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.i,1,2500,8.776482175000183,8.526482175000183,35689,739.0,809.0,8.65265760197775,128.4331590701377,49,8.52675299999828,0.249729175001903,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.i,2,2500,8.776482175000183,8.526482175000183,35476,740.0,809.0,8.529048207663783,128.2716730181295,53,8.52689989999999,0.2495822750001934,True,True,2,05_runtime_budget_baselines/raw_runs.csv
Runtime budget baseline,Chao,GRASP,p4.3.i,3,2500,8.776482175000183,8.526482175000183,35559,722.0,809.0,10.754017305315204,127.51584944047056,47,8.526787399998284,0.2496947750018989,True,True,2,05_runtime_budget_baselines/raw_runs.csv
