Size,Instance,Seed,Configuration,Ejection_Enabled,K,L,Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Runtime_Seconds,Feasible,History_Valid,Source_Record
small,bier127_gen2_m3,0,k100_l5,True,100,5,5000,5158.0,5393.0,4.357500463563879,59004.81966679134,235.25490109999987,True,True,sensitivity_csv:103
small,bier127_gen2_m3,1,k100_l5,True,100,5,5000,5288.0,5393.0,1.9469682922306695,58843.96635259552,216.0556878,True,True,sensitivity_csv:104
small,bier127_gen2_m3,0,k100_linf,True,100,,5000,5299.0,5393.0,1.7430001854255517,59070.5111322938,248.1505072,True,True,sensitivity_csv:105
small,bier127_gen2_m3,1,k100_linf,True,100,,5000,5326.0,5393.0,1.2423511959948081,58468.609278102595,248.34126770000012,True,True,sensitivity_csv:106
small,bier127_gen2_m3,0,k20_l1,True,20,1,5000,5166.0,5393.0,4.209160022251067,59094.46018535689,115.21015430000011,True,True,sensitivity_csv:107
small,bier127_gen2_m3,1,k20_l1,True,20,1,5000,5147.0,5393.0,4.561468570368997,59122.52944437894,165.09985630000006,True,True,sensitivity_csv:108
small,bier127_gen2_m3,0,k6_l1,True,6,1,5000,5299.0,5393.0,1.7430001854255517,59070.5111322938,65.02351049999993,True,True,sensitivity_csv:109
small,bier127_gen2_m3,1,k6_l1,True,6,1,5000,5140.0,5393.0,4.691266456517708,58720.139673998485,72.60509589999992,True,True,sensitivity_csv:110
small,bier127_gen2_m3,0,off,False,0,1,5000,5136.0,5393.0,4.765436677174114,58874.52327187333,37.571479199999885,True,True,sensitivity_csv:111
small,bier127_gen2_m3,1,off,False,0,1,5000,5156.0,5393.0,4.3945855738920825,58617.719340305455,41.39001589999998,True,True,sensitivity_csv:112
small,bier127_gen3_m3,0,k100_l1,True,100,1,5000,2691.0,2706.0,0.5543237250554324,59062.61357992519,174.89534579999986,True,True,sensitivity_csv:113
small,bier127_gen3_m3,1,k100_l1,True,100,1,5000,2660.0,2706.0,1.6999260901699926,59038.60433546329,194.95933330000003,True,True,sensitivity_csv:114
small,bier127_gen3_m3,0,k100_l3,True,100,3,5000,2669.0,2706.0,1.3673318551367333,59080.41819726855,289.85961539999994,True,True,sensitivity_csv:115
small,bier127_gen3_m3,1,k100_l3,True,100,3,5000,2658.0,2706.0,1.7738359201773837,58635.89199931609,292.46202300000004,True,True,sensitivity_csv:116
small,bier127_gen3_m3,0,k100_l5,True,100,5,5000,2607.0,2706.0,3.658536585365854,58885.60684209057,304.53344930000003,True,True,sensitivity_csv:117
small,bier127_gen3_m3,1,k100_l5,True,100,5,5000,2658.0,2706.0,1.7738359201773837,58634.582872205225,317.23365679999984,True,True,sensitivity_csv:118
small,bier127_gen3_m3,0,k100_linf,True,100,,5000,2669.0,2706.0,1.3673318551367333,59080.41819726855,283.2305265,True,True,sensitivity_csv:119
small,bier127_gen3_m3,1,k100_linf,True,100,,5000,2703.0,2706.0,0.11086474501108648,58981.79923873646,296.0530933,True,True,sensitivity_csv:120
small,bier127_gen3_m3,0,k20_l1,True,20,1,5000,2662.0,2706.0,1.6260162601626016,58873.34769263929,187.7048807000001,True,True,sensitivity_csv:121
small,bier127_gen3_m3,1,k20_l1,True,20,1,5000,2662.0,2706.0,1.6260162601626016,58873.34769263929,179.54411060000007,True,True,sensitivity_csv:122
small,bier127_gen3_m3,0,k6_l1,True,6,1,5000,2667.0,2706.0,1.441241685144124,58993.83388252885,108.45735239999999,True,True,sensitivity_csv:123
small,bier127_gen3_m3,1,k6_l1,True,6,1,5000,2594.0,2706.0,4.138950480413895,58813.96555675805,79.29152350000004,True,True,sensitivity_csv:124
small,bier127_gen3_m3,0,off,False,0,1,5000,2645.0,2706.0,2.254249815225425,58876.600761622074,56.72866380000005,True,True,sensitivity_csv:125
small,bier127_gen3_m3,1,off,False,0,1,5000,2394.0,2706.0,11.529933481152993,58402.33610656081,73.1821273999999,True,True,sensitivity_csv:126
