Protocol,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Source_Record
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen1_m4,3,2500,29.95938504999981,,2500,77.0,78.0,1.2820512820512822,1148.8055360562676,,30.36651189999975,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:96
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen2_m2,0,2500,90.52335557499987,,2500,7077.0,7498.0,5.614830621499066,1188.8489956224912,,90.64697379999961,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:97
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen2_m2,1,2500,90.52335557499987,,2500,7171.0,7498.0,4.361162976793811,1188.2806323446785,,99.2748918999996,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:98
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen2_m2,2,2500,90.52335557499987,,2500,6984.0,7498.0,6.855161376367032,1188.3640153281685,,84.58655379999982,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:99
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen2_m2,3,2500,90.52335557499987,,2500,7362.0,7498.0,1.8138170178714323,1188.171143108942,,87.58500280000044,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:100
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen2_m3,0,2500,45.5297865,,2500,5529.0,5615.0,1.5316117542297418,1187.9094505589792,,45.27151950000007,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:101
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen2_m3,1,2500,45.5297865,,2500,5401.0,5615.0,3.811219946571683,1186.7717738854444,,45.88158420000036,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:102
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen2_m3,2,2500,45.5297865,,2500,5538.0,5615.0,1.371326803205699,1187.919089166823,,45.8203211,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:103
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen2_m3,3,2500,45.5297865,,2500,5529.0,5615.0,1.5316117542297418,1187.9894787553437,,45.14572119999957,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:104
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen3_m2,0,2500,90.57186982500025,,2500,6541.0,7183.0,8.93776973409439,1186.9545176098281,,94.60556930000075,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:105
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen3_m2,1,2500,90.57186982500025,,2500,6484.0,7183.0,9.73131003758875,1185.9994193661728,,91.32208030000038,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:106
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen3_m2,2,2500,90.57186982500025,,2500,6530.0,7183.0,9.090909090909092,1186.0206188635698,,96.07011450000027,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:107
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen3_m2,3,2500,90.57186982500025,,2500,6928.0,7183.0,3.5500487261589866,1188.334893361779,,80.28971519999959,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:108
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen3_m4,0,2500,35.10205910000013,,2500,2498.0,2507.0,0.35899481451934584,1174.5731074037321,,38.345721599999706,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:109
Runtime-budget comparison,Ejection ON fixed-iteration reference,gil262_gen3_m4,1,2500,35.10205910000013,,2500,2412.0,2507.0,3.789389708815317,1183.1385247201722,,33.79292760000044,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:110
